|DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
81|20/03/1995|Rubens Barrichello|82|Rubens Barrichello| Túnel de vento é uma, digamos assim, é uma galeria de vento onde, por exemplo, se você colocar uma pessoa de bicicleta, você coloca em forma muito menor. Você, de repente, nessa forma com um túnel de vento desse tamanho  você consegue fazer uma galeria de vento. O exemplo da bicicleta é bom porque você coloca a pessoa guiando em pé, mexendo a cabeça, o chapéu que eles usam com uma certa asa, e o vento que eles colocam na galeria do vento é um vento forte para notar onde é que você ganha ou perde... Você ganha uma certa...  os quilos aumentam na parte dianteira ou na parte traseira,  é melhor na posição assim ou assado. Então, as asas, quando você coloca no carro - o carro é uma maquete, digamos deste tamanho , que  colocada num túnel de vento - você começa a conhecer um pouco mais dessa área, porque o vento é 100% num carro de Fórmula 1.
82|20/03/1995|Rubens Barrichello|83|Matinas Suzuki Júnior| Falando sobre isso, Rubinho, eu acho que os telespectadores têm curiosidade... Como é a vida dentro do carro? O seu pescoço balança mesmo? Precisa fazer aquele monte de exercício para o pescoço? Machuca a mão? Você fica ali, acho que duas horas dentro do carro, trocando de marcha... Como é que é essa... Porque parece que é um teste de resistência muito grande que o piloto precisa ter para enfrentar uma corrida no braço.
83|20/03/1995|Rubens Barrichello|84|Rubens Barrichello| Realmente precisa ter muito fôlego, vontade...
84|20/03/1995|Rubens Barrichello|85|Matinas Suzuki Júnior| Fôlego por quê, por exemplo?
85|20/03/1995|Rubens Barrichello|86|Rubens Barrichello| Porque você faz muita força dento do carro. Não é uma coisa tão simples que você dirige só com o prazer e acaba chegando ao final da prova. Para ter uma corrida competitiva você precisa dar tudo e para dar tudo você perde os pêlos do braço aqui, porque bate aqui , calos nas pernas, porque bate as pernas, e do resto você realmente tem que fazer muita força. E você tem quase 4 G, 3 G  e meio de  gravidade; tudo em cima do pescoço. Isso calculado daria mais de setenta quilos por três segundos. Então você precisa ter uma força muito grande no pescoço, que é a força maior do corpo. Então você precisa, realmente, estar com o corpo em ordem para ter a cabeça livre para você ter uma corrida normal.
86|20/03/1995|Rubens Barrichello|87|Cândido Garcia| Então o Mansell está certo, Rubinho? Por que - aliás, é uma coisa que seria oportuno o Rubinho explicar - como é que um engenheiro como o Oatley  projeta um carro que um piloto de 1m70  não cabe dentro? Numa equipe com todo o suporte da McLaren... Explica isso para a gente. Quer dizer, então o Mansell está certo de não querer guiar? Porque ele disse que ele fica como uma sardinha dentro de uma lata.
87|20/03/1995|Rubens Barrichello|88|Cláudio Carsughi| Espera, explica melhor. Porque eles convidam o Blundell  que tem o mesmo tamanho e ele guia.
88|20/03/1995|Rubens Barrichello|89|Cândido Garcia| É. Exato.
89|20/03/1995|Rubens Barrichello|90|Barbara Gancia| Ou seja, o Mansell está mentindo ou não está?
90|20/03/1995|Rubens Barrichello|91|[Risos]|
91|20/03/1995|Rubens Barrichello|92|Cândido Garcia| O Mansell está achando que o carro é ruim e está arrumando desculpa, é isso?
92|20/03/1995|Rubens Barrichello|93|Rubens Barrichello| Não sei! Não sei! Não sei! Não sei!
93|20/03/1995|Rubens Barrichello|94|[Risos]|
94|20/03/1995|Rubens Barrichello|95|Marcus Zamponi| Ele não vai saber de nada, pode falar.
95|20/03/1995|Rubens Barrichello|96|Rubens Barrichello| Eu acho que a McLaren sempre foi voltada ao chassi, a fazer um chassi bom. E existe realmente a regra de que se você modificar o cockpit um pouco para cá ou para cá, você afeta na aerodinâmica lá atrás. Isso existe, mas são milímetros que não vão chegar a afetar, porque o carro da Jordan é um carro pequeno, mas que eu me sinto confortável. O Eddie Irvine, que tem 1m75 se eu não me engano, também se sente confortável. Mas olhando de cima, o carro da McLaren é um pouco pequeno, realmente, mas eu afirmo que Blandell não é tão menor que o Mansell...
96|20/03/1995|Rubens Barrichello|97|Matinas Suzuki Júnior| Rubinho, o biotipo do piloto é esse? Quer dizer, o piloto tem que ser cada vez mais... Estar nesse padrão 1,70 m por aí, magrinho, porque os carros tendem a ocupar o espaço do piloto?
97|20/03/1995|Rubens Barrichello|98|Rubens Barrichello| 1,70 m é a altura ideal para guiar um carro de Fórmula 1. Existe realmente... O cockpit, às vezes, afeta na aerodinâmica lá atrás, então isso vai piorando. Mas nesses três anos de Jordan, este ano é no qual o carro é mais confortável. Então, para mim, eu não vejo... Se a Jordan pode, eu acho que a McLaren também poderia realizar um bom cockpit.
98|20/03/1995|Rubens Barrichello|99|Matinas Suzuki Júnior| Ainda sobre essa questão... dos trinta pilotos - de quase três dezenas de pilotos - só quatro estão abaixo dos 25 anos. A Fórmula 1 está se tornando um esporte de velhos (ou de maduros)?
99|20/03/1995|Rubens Barrichello|100|Rubens Barrichello| Não, eu acho que a nova fase da Fórmula 1 está por vir. Eu acho que não só de pilotos que correm na Fórmula 3 ou Fórmula 3000... Eu acho que nós temos brasileiros muito bons correndo na Europa já este ano e, logo, logo, a gente vai poder ver outros brasileiros na Fórmula 1, lutando por vagas e lutando, quem sabe, por pontos. É uma coisa que... Essa disputa de pilotos acontece muito e o brasileiro, hoje em dia, tem uma porta muito aberta. Eu acho que logo a gente vai poder ver, inclusive, brasileiros lutando por boas posições.
100|20/03/1995|Rubens Barrichello|101|Marcus Zamponi|" Rubinho, o Nigel Mansell e o Emerson Fittipaldi cansaram de dizer que o que arrasa na Fórmula 1 é a fofoca de bastidores, a pressão dos jornalistas, a pressão do público... Isso parece que é verdade porque a gente vê o Christian, no último fim de semana, se dar mal lá na Austrália e sair ""sambando"" do carro. Eu queria saber o seguinte: qual o segredo para manter a tranqüilidade, o bom humor, por enquanto, como você está mantendo?"
101|20/03/1995|Rubens Barrichello|102|Matinas Suzuki Júnior|" Marcus, eu poderia pegar uma carona na sua pergunta para fazer uma pergunta de um telespectador, o José Maria da Costa Coelho Filho, daqui de São Paulo, e que mandou boa sorte e feliz campeonato para você, Rubinho. Ele faz uma pergunta nessa direção. Ele diz o seguinte: “Parece que os pilotos na Indy são mais felizes e mais colegas"". E que os pilotos na Fórmula 1 apresentam um clima de tensão e o semblante sempre fechado. Existe essa diferença entre a Fórmula Indy e a Fórmula 1?"
102|20/03/1995|Rubens Barrichello|103|Rubens Barrichello| Eu acho que isso é uma coisa um pouco...
103|20/03/1995|Rubens Barrichello|104|Barbara Gancia| É que os de Fórmula 1 se divertem mais dento da pista do que fora.
104|20/03/1995|Rubens Barrichello|105|[Risos]|
105|20/03/1995|Rubens Barrichello|106|Rubens Barrichello| Eu acho que é uma coisa que, primeiro, a imprensa construiu um pouco. Eu acho que realmente o ambiente da Indy é um pouco mais sossegado, mas é uma coisa que ficou maçante em cima da Fórmula 1. É uma coisa que não é o que acontece... No meu caso, acho que parte um pouco da educação que vem de casa, de não xingar o próximo por um motivo extra, por um motivo... Eu acho que... Eu, realmente, não tenho motivos para xingar - a não ser um dos ingleses... Eles não vão ouvir, não é? Você falou que eles não vão ouvir, não é?  Então tudo bem! Eu sempre tive problema na tomada de tempo, mas deixei passar. Então, teoricamente, eu não tenho problema com nenhum piloto lá dentro. Nenhum piloto. Eu acho que isso é o grande motivo de poder ir para um briefing e conversar com todos e cumprimentar a todos e dar parabéns por isso ou por aquilo, de carregar o japonês no colo, de...  Eu acho que é isso...
106|20/03/1995|Rubens Barrichello|107|Marcus Zamponi| E a pressão da imprensa?
107|20/03/1995|Rubens Barrichello|108|Rubens Barrichello| Eu acho que isso dificulta um pouco porque, afinal de contas, se a imprensa esteve naquela curva onde eu fechei o Irvine e onde bateu, é onde eles vão causar um certo atrito, uma coisa que...
108|20/03/1995|Rubens Barrichello|109|Barbara Gancia| A imprensa brasileira é melhor, lida melhor do que a imprensa estrangeira? Como é que você vê? A gente é mais tecnicamente preparado, é menos? O que você acha?
109|20/03/1995|Rubens Barrichello|110|Marcus Zamponi| Mais ou menos chatos? 
110|20/03/1995|Rubens Barrichello|111|Matinas Suzuki Júnior| Mais chatos ou menos chatos que os italianos, por exemplo?
111|20/03/1995|Rubens Barrichello|112|[Risos]|
112|20/03/1995|Rubens Barrichello|113|Rubens Barrichello| Eu vejo perguntas muito boas da parte do Brasil... Com sabedoria, com conhecimento de carro. E eu fico muito contente por isso, porque é chato responder uma pergunta de aerodinâmica, de carro, de cockpit, sendo que a pessoa não está entendendo nada, só está escrevendo para o público. Então é chato isso. Mas eu diria que o Brasil está muito bem situado nessa parte.
113|20/03/1995|Rubens Barrichello|114|Celso Miranda|" Rubinho, nessa questão da imprensa... A imprensa inglesa,  ano passado, ""puxou a sardinha” para o Irvine, né? Como é que foi o relacionamento? Inclusive em cadernos de avaliação de final de ano e tal.... Você ficou magoado?"
114|20/03/1995|Rubens Barrichello|115|Rubens Barrichello| Eu acho que não vale nem a pena eu mover uma pena  por eles, porque agora eu começo a entender porque que o Ayrton tinha problema com a imprensa inglesa. Porque simplesmente eles colocam coisas que não são verdadeiras e fazem análises totalmente suspeitas. No nosso caso - no meu e do Irvine - tem coisas que acontecem, tem coisas que, inclusive, quando acontecem eu tenho prazer de falar que aconteceu. Porque eu acho que na vida você ganha e perde, não tem jeito de ser só um vencedor. Então...
115|20/03/1995|Rubens Barrichello|116|Marcus Zamponi| Você acha que a imprensa inglesa influenciou na tua negociação, por exemplo, com o Ron Dennis? Naquela fase da McLaren?
116|20/03/1995|Rubens Barrichello|117|Rubens Barrichello| Não, porque eu acho que a imprensa brasileira, por exemplo, tinha mais conhecimento do que a imprensa inglesa. Eu acho que eles não tinham tanta vontade de conhecer o caso, coisa que aconteceu...
117|20/03/1995|Rubens Barrichello|118|Matinas Suzuki Júnior| Rubinho, não parece que é um equívoco ficar... A imprensa inglesa defende o piloto inglês, a imprensa italiana defende o piloto italiano, a imprensa francesa... E a brasileira os brasileiros... Quer dizer, a imprensa não está ali para relatar o que acontece independente da nacionalidade de cada piloto?
118|20/03/1995|Rubens Barrichello|119|Rubens Barrichello| Eu acho que é um erro, mas eu acho que no Brasil, por exemplo, nós não temos essa coisa muito grande. Porque quando o Irvine faz um tempo melhor, o Irvine faz um tempo melhor. Tem que sair no jornal.
119|20/03/1995|Rubens Barrichello|120|Matinas Suzuki Júnior| Você acha que nese aspecto ético a imprensa brasileira está acima das outras.
120|20/03/1995|Rubens Barrichello|121|Rubens Barrichello| É superior, com certeza. Voltando ao assunto do Irvine, por exemplo, realmente saiu numa colocação... Eles votaram os dez primeiros num jornal inglês. Eu fiquei em décimo colocado e o Irvine em nono . Eu não me chateei por ficar em décimo colocado porque eu acho que a opinião das pessoas vale e, de repente, a pole não valeu para ele, de repente o pódio não valeu para ele, então tudo bem. O que me deixa chateado é a pessoa comentar que o Irvine era uma pessoa mais rápida que o Rubinho e que estava freqüentemente, por exemplo, nas tomada de tempo mais rápido. No papel, existem comprovados: foi oito a cinco para mim. Então isso já não pode dizer que foi mais rápido porque... Eu não gosto de falar isso porque de repente o Irvine vai e faz 16 a zero agora, vai ser uma coisa até chata...  Mas foi oito a cinco ano passado. Então eu fiquei oito vezes na frente dele, e ele ficou cinco vezes na minha frente. Então uma pessoa não pode... Porque se aconteceu uma coisa, ela tem que falar sobre aquilo. Não pode mudar a história. E o Irvine fez quatro pontos no campeonato quando eu fiz 19. Então eu vi que ele foi cotado como melhor piloto que o Rubinho... É uma coisa que chateia um pouco. Então, às vezes, eu agora chego na Inglaterra, se tem alguma entrevista, alguma coisa eu vou dar, mas não é uma coisa que eu faço com muito prazer na Inglaterra. Porque é uma pessoa que não está lidando com aquilo com sinceridade. Está só querendo saber a minha opinião.
121|20/03/1995|Rubens Barrichello|122|Cláudio Carsughi| Rubinho, em todo o mundo se divide a imprensa automobilística em dois setores completamente distintos: uma minoria que gosta da parte técnica, que entende que tem um preparo específico e uma absoluta maioria que gosta do “oba-oba” da Fórmula 1. Como é que você se posiciona? Qual a entrevista que te dá mais prazer? Aquele que te pergunta um detalhe do tipo da suspensão do teu carro ou aquele que te pergunta que tipo de sapato você usa no domingo?
122|20/03/1995|Rubens Barrichello|123|Rubens Barrichello| Eu realmente gosto mais da entrevista que é mais específica do carro ou mesmo a entrevista que eu respondo e eu entendo que a pessoa está entendendo aquilo que eu tento explicar. Eu acho que essa é a melhor entrevista, porque o que chateia, hoje em dia, são algumas coisas... eu não nego, eu acho que é uma coisa que eu continuo... Eu precisei muito da imprensa quando eu iniciei a minha carreira e eu acho que eu tenho que continuar indo nos programas onde fui, nas pessoas que me ajudaram, nas coisas... Como aconteceram. Porque o Rubinho não tem que deixar de ser uma pessoa pública. Mas às vezes é chato perguntar se eu comecei no kart ou se eu comecei no turismo. É uma coisa que é totalmente...
123|20/03/1995|Rubens Barrichello|124|Barbara Gancia| Rubinho, posso ser chata para fazer uma pergunta?  É o seguinte: Quando você começou a aparecer na TV - naquele comercial da Arisco  - ficou durante muito tempo o pessoal falando “Mas quem é esse cara?”. Hoje em dia, passa algum dia da tua vida que você não dá um autógrafo para alguém ou que alguém não te reconhecem em algum lugar do mundo?
124|20/03/1995|Rubens Barrichello|125|Rubens Barrichello| Inclusive... Você gostou da Pepsi? Eu estou mais solto, não é?
125|20/03/1995|Rubens Barrichello|126|Barbara Gancia| Não, claro...
126|20/03/1995|Rubens Barrichello|127|Rubens Barrichello| O garotinho  “quebrou meu galho” forte. Olha... Tem, tem. Inclusive, eu acho que isso é muito bom que aconteça com os jovens... Porque eu saí do Brasil como um herói, dando autógrafo com 16 anos de idade, aquela coisa... “Nossa! Estou ganhando tudo, sou um herói, dou autógrafo”. Cheguei na Inglaterra e nem o leiteiro me conhecia. Ninguém me conhecia e aquilo começou...  “Poxa, mas eu não sou o herói? Eu não sou aquela pessoa que mando lá no Brasil? E aqui ninguém me conhece. Mas como?”. Aquilo, no Brasil, era confortável para o ego. E lá fora era uma coisa que te prejudicava totalmente. Então isso volta a igualar. Acho que a Europa é muito boa para o piloto em termos de humildade, de simplicidade, eu acho que é muito bom. Então, hoje em dia, eu ainda posso passar na Inglaterra despercebido...
127|20/03/1995|Rubens Barrichello|128|Barbara Gancia| Na Itália?
128|20/03/1995|Rubens Barrichello|129|Rubens Barrichello| Na Itália já não porque com os boatos da Ferrari... Aquela, coisa ficou um pouco mais...
129|20/03/1995|Rubens Barrichello|130|Barbara Gancia| Eu espero que um dia eles sejam boatos confirmados,  seja verdade.
130|20/03/1995|Rubens Barrichello|131|Cândido Garcia| São boatos mesmo ou aquelas várias e tantas conversas com o Jean Todt foi o início de alguma coisa?
131|20/03/1995|Rubens Barrichello|132|Rubens Barrichello| O sonho da Ferrari sempre existiu e sempre vai existir... e é uma coisa até ruim de falar, mas com certeza o Ayrton guiaria ainda, um dia, na Ferrari. E eu acho que estava mais perto do que nunca dele conseguir alguma coisa com a Ferrari. Mas o sonho sempre vai existir... Eu acho que o Jean Todt é uma pessoa super, super honesta e sabe lidar muito bem com a equipe. Ele, realmente, fez com que a Ferrari crescesse e foi por isso que... Não só pela Ferrari, mas pelo contrato  Jordan,  foi uma coisa que eu assinei por um ano. Eles  queriam, de repente, me pagar mais e que eu assinasse um contrato de dois anos. Mas eu fiz questão de assinar mais um ano só, para saber... Se a Jordan continuar eu tenho um prazer enorme de continuar porque é família, eles realmente me fazem bem e trabalham em cima de mim... De forma que eu tenho muita força ali dentro e é ali que eu quero continuar. Mas se eles não tiverem a chance de continuar crescendo, eu acho que existe uma chance de mudança e quem sabe a Ferrari.
132|20/03/1995|Rubens Barrichello|133|Cláudio Carsughi| O fato do contrato de Berger  terminar no fim desse ano é outra coincidência, então?
133|20/03/1995|Rubens Barrichello|134|Rubens Barrichello| Por enquanto. 
134|20/03/1995|Rubens Barrichello|135|Matinas Suzuki Júnior| Bem, nós vamos dar um tempo para o Rubinho reabastecer e voltamos já, já, com o Roda Viva.
135|20/03/1995|Rubens Barrichello|136|[Intervalo] | 
136|20/03/1995|Rubens Barrichello|137|Matinas Suzuki Júnior| Bem, nós votamos com o Roda Viva que, hoje, entrevista o Rubinho Barrichello. Eu lembro a vocês que vocês podem enviar perguntas através do telefone (011) 252-6525. Repetindo: (011) 252-6525 ou pelo fax 874-3454, 874-3454. Esta não é a primeira vez que o Rubinho participa do Roda Viva... Eu nem sei se ele sabe disso. Em 1986, quando ele tinha 14 anos, Barrichello fez uma pergunta gravada para o programa de entrevista do Ayrton Senna. Rubens Barrichello sempre admirou o piloto tricampeão da Fórmula 1.
137|20/03/1995|Rubens Barrichello|138|[Vídeo com imagens da entrevista que Ayrton Senna deu ao programa Roda Viva, do acidente que levou o piloto à morte e imagens de homenagens prestadas por Rubens Barrichello e outros pilotos a Ayrton Senna]|
138|20/03/1995|Rubens Barrichello|139|Matinas Suzuki Júnior| Não era só o Rubinho que era diferente, não. O Roda Viva também tinha outro cenário. Aproveitando a pergunta que você fez para o Senna, Rubinho, eu queria aproveitar e fazer as perguntas dos telespectadores. Há muitas perguntas sobre o Ayrton Senna - lembrando que amanhã seria aniversário do Senna e que a irmã dele está lançando o Projeto Senna, um projeto importante para o país. O Jairo Gregório, de Arujá; o Adilson de Santoro, de São Bernardo; o Eduardo Carvalho, de Santa Catarina; o Genilson Vitorino, de Itaquera; o Rodrigo Gomes, de Diadema e o Marcelo Otineli, de Osasco, entre outros - há muito mais perguntas sobre o Senna aqui - gostariam que você falasse sobre o Ayrton Senna. Mas eu queria te lembrar o seguinte, naquela pergunta - você com aquela carinha de 14 anos - você perguntou para o Senna qual era o caminho mais fácil de passar do kart para a Fórmula 1 e ele te respondeu que era ter bons patrocínios. Ter sorte para ter bons patrocínios. Qual a pergunta que você gostaria de ter feito para o Ayrton Senna e não fez?
139|20/03/1995|Rubens Barrichello|140|Rubens Barrichello| Olha, primeiro eu queria agradecer pelo convite de vir aqui porque eu me lembro muito bem dessa entrevista. Eu me lembro que foi feita para o Roda Viva e me lembro, como se fosse ontem - com aquele cabelinho rapado, gordinho... eu estava gordinho ali! - que foi com muito prazer que eu fiz aquilo porque o Ayrton sempre foi um grande herói. E eu me lembro muito, muito, muito bem que foi no meu quarto, num cantinho do meu quarto que eu perguntei isso para ele. Olha, eu tive momentos na minha vida que eu não sabia se eu estava no sofá da minha casa ou se eu estava no cockpit do meu carro por ver o Ayrton passar na frente. Então era um momento que você tinha que dividir o piloto do herói, do amigo do Rubinho, como  simplesmente assistindo uma prova de Fórmula 1 da melhor arquibancada possível. Foi assim que eu me senti na minha primeira prova de Fórmula 1. Foi assim que eu tive que me tornar um homem e saber que, se eu tivesse que disputar uma freada com o Ayrton, eu teria que fazê-lo, e não teria que ser diferente. Mas eu acho que os momentos que eu tive com o Ayrton, principalmente no Japão, onde o Ayrton voltou a ser um menino... acho que poucas pessoas sabem disso, mas por coincidência... Nós estávamos, eu e o Geraldo no Japão, e nós chegamos muito cedo ao Japão, então acabamos indo para Tóquio em vez de ir à Aida. E, em Tóquio, nós ficamos no mesmo hotel que o Ayrton, inclusive quando eu abri a porta do meu quarto era de frente com o quarto dele. E do lado do hotel tinha a Tóquio Disneylândia. Então, o Ayrton já ficava naquele hotel há quatro anos e nunca tinha ido na Disneylândia ali em Tóquio. Então a gente estava indo e convidamos o Ayrton para ir. E eu nunca vi o Ayrton tão alegre, tão menino e se divertindo ao máximo. Então, eu não diria que faltou uma pergunta, mas faltou sim um pouco mais... Acho que todas as pessoas sentem isso, sentem uma vontade muito grande de fazer uma pergunta, de estar mais por perto porque... E por isso acho que uma coisa me ensinou, hoje, eu vejo... Até é meio difícil de falar, mas vai... Eu vejo a minha mãe, por exemplo, que dois anos atrás eu não tinha tempo de vê-la, de... Sabe? É uma coisa que em casa, trabalho, patrocínio e você fica longe. Hoje em dia eu já...  Eu arrumo um tempo para ela, então isso me ajudou.
140|20/03/1995|Rubens Barrichello|141|Paulo Anshowinhas| Você falou em alegria, Rubinho... Aparentemente você é uma pessoa extrovertida. Isso nas pistas... Fora delas existe, realmente, uma aura de timidez dentro de você? E complementando ainda mais essa pergunta... O que é adrenalina? Certa vez rolou aquele acidente contigo em Ímola e eu acho que medo era uma das primeiras coisas que qualquer pessoa poderia sentir... E, ao mesmo tempo, eu li uma entrevista onde você dizia que o único medo que você tem é da solidão. Como que é essa história?
141|20/03/1995|Rubens Barrichello|142|Rubens Barrichello| É... Primeiro eu vou pedir pra ele ler o que a Fabiana falou. Por favor, o que a Fabiana falou.
142|20/03/1995|Rubens Barrichello|143|Matinas Suzuki Júnior| Não foi só a Fabiana, não foi só a Fabiana! A Fabiana pediu desculpas....  para dizer que você... Que não concorda  você ter sido eleito o mais feio. Mas que você, além de muito bonito, é um fofo.
143|20/03/1995|Rubens Barrichello|144|Rubens Barrichello| Viu?
144|20/03/1995|Rubens Barrichello|145|[Risos]|
145|20/03/1995|Rubens Barrichello|146|Rubens Barrichello| Eu sou realmente extrovertido, gosto de participar das brincadeiras. No colégio eu era muito mandado para fora da aula pelas brincadeiras. Mas no íntimo, em conquistar uma garota, em chegar e cumprimentar uma pessoa importante ou participar de uma reunião, o Rubinho é uma pessoa tímida, uma pessoa um pouco introvertida, uma pessoa quieta nesse assunto. Quando me dão liberdade, eu realmente fico mais solto e é o que vem acontecendo na minha vida, em geral. Acho que a minha vida solitária, digamos assim, na Europa, me fez uma pessoa um pouco mais agressiva, mais participante. Eu acho que o ficar sozinho, hoje, é necessário, por alguns motivos de concentração e por algumas coisas que você quer pensar... E  algumas coisas que você tem que realizar, escrever... Eu escrevo bastante os meus momentos de alegria. Mas eu diria que eu venho me dando bem com essa coisa... Eu ainda sou muito tímido, mas eu consigo passar por cima.
146|20/03/1995|Rubens Barrichello|147|Paulo Anshowinhas| E o que é a adrenalina?
147|20/03/1995|Rubens Barrichello|148|Rubens Barrichello| Adrenalina é uma coisa que você sente e você começa a suar frio... Eu acho que todas as pessoas já suaram frio... Por exemplo, quando o avião dá aquela batidinha  - coisa que eu mais sinto... Porque eu, realmente, posso andar a 300 quilômetros no chão, mas no alto eu fico um pouco tremendo ... Adrenalina é aquilo que você não sabe se vai dar certo ou não no final e que você tem a maior responsabilidade, a vontade e é a hora de querer realmente fazer bem feito. Então a adrenalina vem no corpo como uma coisa... Como um Cebion  na água. É uma coisa que é difícil de explicar, mas ela vem na largada.
148|20/03/1995|Rubens Barrichello|149|[Sobreposição de vozes]|
149|20/03/1995|Rubens Barrichello|150|Matinas Suzuki Júnior| Por favor, Cláudio, só um minuto. Ele tocou no  acidente e está falando em adrenalina. Se você nos permitir, nós vamos passar outra vez a imagem do acidente e, seria importante, os telespectadores gostariam de saber o que você sentiu... Olhando lá Rubinho, como é que...
150|20/03/1995|Rubens Barrichello|151|[Vídeo com imagens da batida de Rubens Barrichello no circuito de Imola em 1994]|
151|20/03/1995|Rubens Barrichello|152|Rubens Barrichello| Eu sei de cor e salteado, não vou nem olhar. É um negócio... É bonito, de fora é bonito, fala a verdade.
152|20/03/1995|Rubens Barrichello|153|[Risos]|
153|20/03/1995|Rubens Barrichello|154|Marcus Zamponi| Você tem medo de avião... Olha lá, está voando.
154|20/03/1995|Rubens Barrichello|155|Rubens Barrichello| Meu pai sempre me avisou para levantar sempre o braço, sempre ser um cara alegre. Eu estava assim lá!
155|20/03/1995|Rubens Barrichello|156|[Risos]|
156|20/03/1995|Rubens Barrichello|157|Barbara Gancia| De lá para cá você sonhou com esse acidente alguma vez?
157|20/03/1995|Rubens Barrichello|158|Rubens Barrichello| Não. Quanto ao medo, quanto à coisa que... Lógico que o piloto tem um receio, tem um certo medo de algumas horas na Fórmula 1. Mas o medo é igual a um farol amarelo no trânsito de São Paulo, digamos assim. Você não pode temer. Ou você vai de uma vez e passa no farol amarelo ou pára e decide que não vai. É a mesma coisa no carro: melhor você parar numa hora de treino, analisar a situação e depois prosseguir. Porque se o medo existir, você não vai conseguir ser rápido.
158|20/03/1995|Rubens Barrichello|159|Marcus Zamponi| Já te passou pela cabeça parar?
159|20/03/1995|Rubens Barrichello|160|Rubens Barrichello| Não. Parar, num momento raro, assim... Você pára um pouquinho, pensa e já vai de novo.
160|20/03/1995|Rubens Barrichello|161|Marcus Zamponi| Mas parar... Por exemplo, depois do acidente, você pensando “Vou parar com essa história... No sábado morreu o Ratzenberger , no domingo morreu o Ayrton...”. Não te passou nada na cabeça a esse respeito?
161|20/03/1995|Rubens Barrichello|162|Rubens Barrichello| Não dá para pensar isso porque é a coisa que eu mais gosto, é a coisa que eu mais amo em toda a minha vida...
162|20/03/1995|Rubens Barrichello|163|Barbara Gancia| O que você acha da equipe Williams estar sendo - ou poder vir a ser - responsabilizada criminalmente pela morte do Senna? O que você tem a dizer sobre isso?
163|20/03/1995|Rubens Barrichello|164|Rubens Barrichello| Eu ouvi muito sobre isso e eu não acho que alguma pessoa dentro da Fórmula 1 faria alguma coisa de propósito. Isso é um caso encerrado na minha cabeça...
164|20/03/1995|Rubens Barrichello|165|Maurício Cardoso| Mas por negligência não poderia ter havido...
165|20/03/1995|Rubens Barrichello|166|Rubens Barrichello| Eu acho que não, porque no caso de uma Sintec , de uma Pacific... e por problemas de dinheiro, eles não têm condições de trocar as peças, por exemplo. E se isso acontecer, pode haver fadiga na peça e pode haver um acidente. Mas no caso da Williams que cuida, que troca... É impressionante como o tempo vai passando e... A própria Jordan, hoje, usa uma pastilha de freio, acabou o treino, joga fora. É uma coisa que acontece no dia de hoje e a Williams é muito mais. É uma coisa que já aconteceu. Já passou a fase de problemas financeiros, então não existe isso. Eu acho que há uma culpa. Eu acho que eles teriam que admitir o fato da coluna ter quebrado, mas eu acho que eles não têm que ser culpados criminalmente, porque é uma coisa que não foi proposital, é uma coisa que aconteceu porque tinha que acontecer.
166|20/03/1995|Rubens Barrichello|167|Cândido Garcia| Rubinho. É até uma conversa muito desagradável, chata, lembrar tudo isso... Mas jornalisticamente a gente é obrigado a entrar nesse assunto. Você teve um acidente na sexta-feira, o Ratzenberger morreu no sábado, existia um clima muito pesado em Ímola naquele final de semana e há quem diga que o Ratzenberger morreu realmente na pista, na hora em que ele bateu no Villeneuve, mas  a morte dele só foi noticiada no Hospital de Bolonha para que a corrida pudesse acontecer . Entre vocês, pilotos, depois da morte de Ratzenberger, veja bem, antes da morte dele... Você não estava mas, pelo que você ouviu posteriormente, aquela corrida não deveria ter sido suspensa?
167|20/03/1995|Rubens Barrichello|168|Rubens Barrichello| Eu acho que sim. Isso foi discutido na GPDA, que é a Associação dos Pilotos. Eu acho que quando existe algum tipo... Nem que a pessoa tenha falecido... Acho que alguma coisa grave, se aconteceu, é porque existia algum erro. Então a coisa tinha que ser revisada. O Christian me disse que, na relargada, depois do acidente do Ayrton, a comunicação é que ele estava bem, que já estava voltando e não tinha problema algum. Foi dessa maneira que ele largou para a segunda largada, porque ele me disse que se não, não largaria. Então houve uma falta de informação, alguma coisa errada. Eu acho que a relargada ali foi totalmente errada, realmente não teria que ter acontecido.
168|20/03/1995|Rubens Barrichello|169|Cândido Garcia| Em cima dessa sua resposta, então, não existe ética e não existe um lado emocional entre aqueles que dirigem a Fórmula 1? Alguém disse que a Fórmula 1 é um grande negócio. É apenas um grande negócio ainda?
169|20/03/1995|Rubens Barrichello|170|Rubens Barrichello| Não...
170|20/03/1995|Rubens Barrichello|171|Celso Miranda| Ou, Cândido, existe esse lado emocional, e até por haver esse lado emocional alguém escondeu a verdade para que o jogo continuasse...
171|20/03/1995|Rubens Barrichello|172|Rubens Barrichello| Mas eu acho que pela falta de tempo, pela televisão, por aquela coisa toda, não teve tempo da informação correr. Porque foi... Eu estava em casa, na Inglaterra, quando eu vi o acidente e, em menos de meia hora a corrida já estava acontecendo novamente. Então eu acho que, pelo fato de acreditar que o Ayrton era imbatível,  era uma pessoa que nunca aconteceria nada, para ninguém... Para ele, inclusive, eu acho que a corrida continuou. Os pilotos nunca pensaram que poderia acontecer aquilo e a informação não aconteceu. A informação ficou naquele círculo de médicos e de pessoas que ficaram em volta do carro.
172|20/03/1995|Rubens Barrichello|173|Celso Miranda| Escondendo dos outros.
