DATA|ENTREVISTA|ORDEM|LOCUTOR|FALA
30/10/2006|Rogério Ceni|90|Rogério Ceni|E eu torci o tornozelo num jogo contra o River Plate [time argentino], numa dividida, eu acabei tendo uma torção forte no tornozelo. Eu joguei o último jogo do Campeonato Brasileiro, a gente já classificado para a Libertadores, sem chance de título, joguei no gol e com muita dor, então não deu para fazer isso. Mas parando, pensando com sensatez, eu acho que não deveria, não caberia essa situação. Aí sim seria uma inversão de valores, cada um na sua. É mesma coisa que você querer botar um centroavante no gol, acho que aí perderia um pouco o foco.
30/10/2006|Rogério Ceni|91|Mauro Naves|Você começou batendo falta porque o ataque não estava atacando, ou seja, o Muricy só deixou ele bater porque ninguém lá fazia gol de falta, aí o cara chegou e falou: “o melhor é o goleiro”.
30/10/2006|Rogério Ceni|92|Rogério Ceni|No ano que eu comecei a bater faltas, o São Paulo fez um gol de faltas só, no ano todo. Aí eu chegava mais cedo aos treinamentos, pegava uma barreira móvel, um saco com vinte bolas. Foi uma das coisas que eu aprendi com o Telê, chegar sempre meia hora mais cedo. Aí eu ia lá, alongava e começava a bater. Bater, bater, foi onde eu fui pegando.
30/10/2006|Rogério Ceni|93|Raul Plasmann|O Telê colocava uma camisa na rede para...
30/10/2006|Rogério Ceni|94|Rogério Ceni|[interrompendo] Colocava uma camisa nos dois ângulos para você treinar.
30/10/2006|Rogério Ceni|95|Raul Plasmann|Quando é que vai sair um gol de bola, sem ser bola parada?
30/10/2006|Rogério Ceni|96|Rogério Ceni|O meu?
30/10/2006|Rogério Ceni|97|Raul Plasmann|É.
30/10/2006|Rogério Ceni|98|Rogério Ceni|Não, eu não tenho condições. O máximo que eu posso fazer é como foi contra o Cruzeiro, aquele toque, o Souza parou e bateu porque não vou fazer uma loucura de sair correndo pelo campo, porque eu não tenho a velocidade que um jogador de linha tem.
30/10/2006|Rogério Ceni|99|Raul Plasmann|Tem que ter responsabilidade.
30/10/2006|Rogério Ceni|100|Rogério Ceni|Aí é pro Jorge Campos, que o Plasmann falou, ou jogando na linha, como a Marília falou.
30/10/2006|Rogério Ceni|101|Wagner Vilaron|O que o Markun falou no início do bloco, ainda sobre "cada macaco no seu galho", muita gente se incomoda com o goleiro de repente fazendo funções diferentes da de defender. Coisas de bastidores assim, historinhas de campo, alguém já chegou para você, dentro do campo, algum jogador ou o próprio goleiro pedindo para que você não cobrasse a falta, achando que fosse ser humilhado ou coisa assim?
30/10/2006|Rogério Ceni|102|Rogério Ceni|Não, humilhado não, mas é lógico que, especialmente no começo da carreira, existia um preconceito muito grande. Você olhava para os outros jogadores e via que existia uma relutância em aceitar.
30/10/2006|Rogério Ceni|103|Wagner Vilaron|Do próprio time ou do adversário?
30/10/2006|Rogério Ceni|104|Rogério Ceni|Do próprio time, é claro.
30/10/2006|Rogério Ceni|105|Paulo Markun|E foi o técnico que te deu força?
30/10/2006|Rogério Ceni|106|Rogério Ceni|Foi. Duas pessoas me ajudaram muito nesse negócio de faltas, o Rojas [chileno, ex-goleiro do São Paulo e da seleção de seu país] que era meu treinador. Incentivou muito isso e o próprio Muricy, no quesito faltas. Assim, foram as duas pessoas que mais me apoiaram, me deram força para isso.
30/10/2006|Rogério Ceni|107|Luiz Gonzaga Belluzzo|Rogério, eu tenho a maior admiração pela sua habilidade em bater faltas. Qual é a sensação que você teve naquele jogo com o Fluminense que você bateu, a bola sobrou para o Roger e o Roger meteu a bola?
30/10/2006|Rogério Ceni|108|Rogério Ceni|Veja bem, nesse jogo que você está falando, eu bati, converti um gol, estava três a dois o jogo, a bola entrou e eu fui passar pela torcida comemorando, como sempre faço nos gols, só que os jogadores pularam. O Gustavo Nery pulou no meu pescoço e eu não conseguia falar. Eu vi que o lance estava no meio do campo já, só que eu não conseguia sair, tinham três jogadores em volta e eu não conseguia nem falar. O gol, logicamente ele foi validado, foi quatro a três o jogo, mas ele foi feito de forma irregular. Nós éramos quatro jogadores para cá, no campo do Fluminense e para cá tinha...
30/10/2006|Rogério Ceni|109|Luiz Gonzaga Belluzzo|[interrompendo] Esse foi o único gol que você tomou batendo falta?
30/10/2006|Rogério Ceni|110|Rogério Ceni|Não, dois. Eu tomei esse gol fazendo um gol e tomei um gol contra o Santos onde eu bati, deu na barreira, a bola volta no Cicinho, dá na perna do Cicinho, volta para o jogador do Santos e, no contra ataque, eles fazem um gol.
30/10/2006|Rogério Ceni|111|Raul Plasmann|Rogério você se preocupa, na hora da cobrança, que a bola não toque na barreira? É uma preocupação muito grande, né?
30/10/2006|Rogério Ceni|112|Rogério Ceni|Eu tento bater a falta no extremo [para] que ela consiga andar na maior velocidade possível, seja no canto do goleiro ou por cima da barreira e fazendo uma parábola que ela não encontre ninguém da barreira. Logicamente que nem sempre você consegue, mas é a grande diferença. Porque um jogador de linha, ele bate a falta com muito mais tranqüilidade que eu. Se ele errar, está tudo posicionado. Eu, apesar do treinamento, de posicionamento pré-definido, eu sinto que eu não posso ter um erro grotesco numa falta.
30/10/2006|Rogério Ceni|113|Paulo Markun|Já que você falou aí da imprensa esportiva, eu queria proporcionar aos telespectadores um momento singular. Nós temos aí duas falhas suas, eu queria que você narrasse, não como locutor esportivo, mas como...
30/10/2006|Rogério Ceni|114|Rogério Ceni|Duas falhas minhas que eu narrasse, que eu comentasse?
30/10/2006|Rogério Ceni|115|Paulo Markun|Que você comentasse. A gente vê, porque nós já passamos uma dos seus gols de falta, mas você estava falando e não foi possível de comentar, agora vamos ver. Roda, por favor [começam a passar as falhas do goleiro em campo]. Esse aí que jogo é?
30/10/2006|Rogério Ceni|116|Rogério Ceni|Não lembro que jogo foi, mas foi feio o negócio [risos]. Esse jogo eu lembro, deixa eu ver, não esse não foi, esse não foi gol. Esse jogo nós ganhamos, esse gol foi contra o Guarani. Nesse jogo estava ventando muito no Morumbi [estádio oficial do São Paulo], a bola pegou um efeito desgraçado e eu me atrapalhei e foi gol mesmo. Depois eu reclamei com o bandeira, mas a bola não tinha... esse é o gol que nós acabamos de comentar. E esse jogo é o Guarani inclusive, no VT [vídeo tape] anterior [que] você passou, o primeiro lance, na abertura do programa, é um pênalti que eu defendo exatamente naquele jogo do Guarani onde eu falhei. É a estréia do Souza, o Souza que hoje joga no América de Natal, foi a estréia do Souza nesse jogo e nós vencemos o Guarani por dois a um. E aquele outro que eu vou pegar de frente, que ela bate no meu peito, bate na mão e volta, se não me engano foi contra o Figueirense, um três a um, eu não consigo lembrar a equipe. Foi três a um para nós nesse jogo, com uma falha minha.
30/10/2006|Rogério Ceni|117|Paulo Markun|Uma pergunta óbvia, eu acho que essas são, às vezes, as melhores, ainda mais quando o perguntador entende pouco do assunto, como é o caso hoje. Eu tenho trauma de futebol pela incompetência juvenil: um jogador de ataque, quando perde um gol, o torcedor reclama meia hora. Um goleiro quando toma um frango, o torcedor discute uma semana, por quê?
30/10/2006|Rogério Ceni|118|Rogério Ceni|Porque o goleiro é a última barreira que existe para a bola chegar ao objetivo final do jogo, que são as redes. Então, não tem como uma falha do goleiro não ser mais lembrada.
30/10/2006|Rogério Ceni|119|Paulo Markun|Isso não te incomoda?
30/10/2006|Rogério Ceni|120|Rogério Ceni|Não, não isso está incluso no pacote que é ser goleiro, está incluso na minha profissão. As falhas, elas aconteceram, logicamente, em bem menor números em 700 jogos, do que as grandes defesas, do que o sucesso em geral. Mas elas estão conjugadas a isso. Você quando escolhe ser goleiro, você tem que lembrar que é um pacote que vem com determinados lances como esses. Esses ainda são tranqüilos porque foram em jogos comuns e que não afetaram no resultado final. Teve outros piores que resultaram em derrota, então eu acho...
30/10/2006|Rogério Ceni|121|Mauro Naves|[interrompendo] O que é mais gostoso, fazer um gol ou defender um pênalti, Rogério?
30/10/2006|Rogério Ceni|122|Rogério Ceni|Na hora em que os caras batem pênalti é melhor defender o pênalti, na hora que tem a falta é melhor fazer o gol.
30/10/2006|Rogério Ceni|123|Mauro Naves|Aquela vibração interna, tem diferença? Tem diferença até no jeito de você comemorar?
30/10/2006|Rogério Ceni|124|Rogério Ceni|Por exemplo, o São Paulo, em Rosário, um jogo que vocês [Rede Globo] fizeram e que você lembra muito bem. O último pênalti teria que defender, eu defendi. Fiz o meu gol logo em seguida, defendi o outro pênalti. Quer dizer, cada momento é um momento especial. Para o goleiro, tudo que envolve sucesso tem que ser especial, porque é uma profissão difícil [gesticulando], é uma profissão [em] que você é crucificado a cada mínimo erro ou, às vezes, sem até o próprio erro, julgado por pessoas que nunca jogaram naquela posição.
30/10/2006|Rogério Ceni|125|Mauro Naves|Seria o caso da Seleção Brasileira, por exemplo? O Luxemburgo [ex-técnico da Seleção Brasileira, do Real Madrid e de vários times de futebol no Brasil], teve aquele problema todo. No começo do programa a gente viu os gols contra a Espanha e que você teria saído dizendo: “Eu não falhei” e o Luxemburgo falou: “Tomou dois gols, ele falhou e tal”. Muita gente diz que você não voltou à seleção do Luxemburgo porque não assumiu o erro dos gols que a gente mostrou aí no começo do programa.
30/10/2006|Rogério Ceni|126|Rogério Ceni|Veja bem, não fosse...
30/10/2006|Rogério Ceni|127|Mauro Naves|Ali você falhou, não falhou?
30/10/2006|Rogério Ceni|128|Rogério Ceni|Não fosse pelas duas falhas, teria sido uma partida perfeita porque foram muitas bolas ao gol. Eu sei que é uma frase que dá até para dar risada, se não fossem as falhas teria sido uma partida perfeita, é uma coisa meio óbvia.
30/10/2006|Rogério Ceni|129|Mauro Naves|Você assumiu aquelas falhas?
30/10/2006|Rogério Ceni|130|Rogério Ceni|Assumi sim, eu não disse que não tinha sido falhas. Agora, foi uma partida com tantas bolas que vieram no gol e um jogo... você já trabalhou nesse campo, grama baixinha, garoando, ventando, um jogo difícil de se jogar. Só não foi mais difícil que o da Rússia, que nós fomos com -17 o C , mas um jogo que não era fácil, viu, cara. E, assim, foram bolas perfeitas, mas eu dei azar porque quando eu erro dá gol. Eu erro e não tenho sorte de alguém tirar, uma coisa assim, a bola entra. Eu realmente falhei no jogo, mas foi uma partida, assim, ótima, como muitas participações durante o jogo, incluindo essas duas falhas. Pode ser que eu não tenha voltado por isso, pode até ser.
30/10/2006|Rogério Ceni|131|Paulo Markun|Para garantir a justiça, eu queria agora mostrar um outro pacote aí de imagens.
30/10/2006|Rogério Ceni|132|Rogério Ceni|De falhas?
30/10/2006|Rogério Ceni|133|Paulo Markun|Não, não, ao contrário, de defesas [risos].
30/10/2006|Rogério Ceni|134|Rogério Ceni|Ah, que bom.
30/10/2006|Rogério Ceni|135|Paulo Markun|Aí você pode também, se você lembrar de alguma coisa [são mostradas mais imagens].
30/10/2006|Rogério Ceni|136|Rogério Ceni|Esse pênalti foi no mesmo jogo do gol de faltas que eu fiz, no quatro a três. Este é o pênalti que eu falei daquele gol da falha. Esta bola também foi importante contra o Deportivo Táchira [time venezuelano] pela Libertadores. Eu fiz um gol neste jogo.
30/10/2006|Rogério Ceni|137|Marília Ruiz|Rogério, a gente está vendo umas defesas suas. Eu aproveito para perguntar: você se adianta na hora de defender pênalti?
30/10/2006|Rogério Ceni|138|Rogério Ceni|Eu faço o mesmo movimento que qualquer outro goleiro faz.
30/10/2006|Rogério Ceni|139|Marília Ruiz|Por que você briga tanto com essa história?
30/10/2006|Rogério Ceni|140|Rogério Ceni|Não me adianto mais. Não me adianto mais, acabou de ser repetido um pênalti, ai.
30/10/2006|Rogério Ceni|141|Marília Ruiz|Mas pode se adiantar ou não pode se adiantar?
30/10/2006|Rogério Ceni|142|Rogério Ceni|Não pode. A regra diz que não pode.
30/10/2006|Rogério Ceni|143|Marília Ruiz|Mas porque que você acha que é perseguição? Tem um jornalista esportivo que você acha que te persegue por causa disso.
30/10/2006|Rogério Ceni|144|Rogério Ceni|Não, eu não acho que é perseguição, eu levo tudo na esportiva. Eu só acho assim, é uma perseguição porque a mesma conotação dada aos pênaltis que eu defendo não são dadas às outras questões. Mas eu entendo que tem a audiência do programa, tem tudo isso.
30/10/2006|Rogério Ceni|145|Marília Ruiz|Mas você se adianta?
30/10/2006|Rogério Ceni|146|Rogério Ceni|Como qualquer outro goleiro.
30/10/2006|Rogério Ceni|147|Luiz Gonzaga Belluzzo|Rogério, quantas vezes o juizes mandaram voltar o pênalti que você defendeu?
30/10/2006|Rogério Ceni|148|Rogério Ceni|Eu acho que ao todo, na carreira, uns cinco, na minha carreira.
30/10/2006|Rogério Ceni|149|Vladir Lemos|Agora, Rogério só para testar se você realmente leva tudo na esportiva. Essa questão que a Marília levantou, desse jornalista que pega no seu pé dizendo que você se adianta. Depois disso também houve uma outra muito famosa também com a Milly Lacombe no ar, no Sportv, uma discussão sua. Eu queria que você falasse. Aí a minha curiosidade, e a pergunta é simples: você processou a Milly Lacombe?
30/10/2006|Rogério Ceni|150|Rogério Ceni|Com relação ao Milton Neves, com relação ao jornalista, o Milton, não tem problema nenhum em falar o nome dele.
30/10/2006|Rogério Ceni|151|Vladir Lemos|Se você quiser, até com as suas palavras [pode] explicar o ocorrido, que era a proposta do Aresenal, que você teria recebido.
30/10/2006|Rogério Ceni|152|Rogério Ceni|Com relação à Milly, eu nem posso falar desse assunto porque foi instaurado, logicamente, um processo e ele segue em segredo de Justiça. Então, eu não teria como comentar qualquer coisa enquanto não seja julgado esse processo.
30/10/2006|Rogério Ceni|153|Hélio Alcântara|Mas eu posso perguntar uma coisa, então, Rogério? Em relação à postura da imprensa, você acha que falta precisão, conhecimento? Eu não estou falando de má fé, porque má fé acho que tem em todo lugar. Enfim, você acha que existe isso, quer dizer, falta precisão no jornalista esportivo, falta clareza, conhecimento?
30/10/2006|Rogério Ceni|154|Rogério Ceni|Olha, para muitos falta, assim como para muitos jogadores também falta conhecimento de determinadas coisas. Como para muitos advogados, médicos e em outras áreas. Eu acho que não é diferente, o jornalismo não é diferente. Eu vejo ótimos jornalistas, excelentes jornalistas que analisam de forma muito coerente.
30/10/2006|Rogério Ceni|155|Hélio Alcântara|Eu sei, é que é uma resposta diplomática essa sua.
30/10/2006|Rogério Ceni|156|Rogério Ceni|Não é diplomática, é uma resposta minha.
30/10/2006|Rogério Ceni|157|Hélio Alcântara|A maioria é assim ou não?
30/10/2006|Rogério Ceni|158|Rogério Ceni|Olha, tem muita gente muito boa, tem muita gente mais ou menos e tem gente despreparada, isso é uma coisa.
30/10/2006|Rogério Ceni|159|Hélio Alcântara|É que vocês lidam todo os dias com esse pessoal.
30/10/2006|Rogério Ceni|160|Rogério Ceni|É, mas pode [haver gente despreparada], em todas as áreas. Eu acho que isso não é um demérito para o jornalista, tem muito jornalista de altíssimo nível.
30/10/2006|Rogério Ceni|161|Paulo Markun|Mas há uma declaração sua numa entrevista que você diz o seguinte: “Eu não entendo como é que estes caras comentam isso, se eu vejo treino de um jogo entre jornalistas, é tudo um bando de perna de pau”.
30/10/2006|Rogério Ceni|162|Rogério Ceni|Isso não, isso é mais um comentário muito mais no sentido de brincadeira. Eu assisto mesmo porque há o jogo da imprensa contra...
30/10/2006|Rogério Ceni|163|Paulo Markun|[interrompendo] E deve ser um bando de perna de pau mesmo.
30/10/2006|Rogério Ceni|164|Rogério Ceni|...contra a comissão técnica, então a gente vê, mas isso não tem nada a ver, porque eu também não entendo, não estudei política e me vejo no direito de dar uma posição sobre política.
30/10/2006|Rogério Ceni|165|Vladir Lemos|É uma relação que piora através dos tempos? Eu digo isso pela história recente, o Corinthians ficar sem falar com os jornalistas, o Palmeiras também.
30/10/2006|Rogério Ceni|166|Rogério Ceni|Aconteceu, por exemplo, no Mundial de clubes, lá, que nós não demos entrevista depois do primeiro jogo, por uma situação que foi colocada de prêmio que não teria sido acertada, e do Amoroso [ex-atacante] que tinha o contrato, uma coisa assim. Contrato é uma coisa muito particular dele. A premiação não houve nem discussão, o São Paulo disse: “Nós vamos dar isso, isso, isso para os jogadores para serem campeões do mundo”.
30/10/2006|Rogério Ceni|167|Vladir Lemos|Mas a relação piora através do tempo, com a sua experiência?
30/10/2006|Rogério Ceni|168|Rogério Ceni|Com a imprensa?
30/10/2006|Rogério Ceni|169|Vladir Lemos|É.
30/10/2006|Rogério Ceni|170|Rogério Ceni|Para mim, melhorou muito. Evoluiu muito, primeiro porque eu sou uma pessoa mais madura. Eu acho que você também vai aprendendo a administrar de forma melhor, a entender as pessoas de forma melhor. Mas, para mim, melhorou muito o relacionamento com a imprensa.
30/10/2006|Rogério Ceni|171|Vladir Lemos|Depois da derrota do Fluminense, no último jogo, uma coisa que me chamou a atenção foi a entrevista do Pedrinho. Os jornalistas foram falar com ele, e ele falou, olhou para os jornalistas e falou: “Meu, eu estava no vestiário e avisei todo mundo que eu não tinha mais o que falar. Meu time perdeu”. Na verdade, isso me parece uma postura muito mais correta do que deixar de falar com a imprensa.
30/10/2006|Rogério Ceni|172|Rogério Ceni|Esse raciocínio, que na época nós, por decisão das pessoas envolvidas mais no assunto e tudo. “Não, nós não vamos falar com a imprensa em sinal de protesto, tal”. Para ser sincero, eu não era a favor daquilo, mas eu penso que um grupo é um grupo. Só que quando saíram, os jogadores: “Ó, pergunta para o capitão”. Mas, peraí, o capitão não estava disposto a falar, sabe? É uma realidade. Então, hoje, qualquer coisa que seja feita nesse sentido, para mim, eu não participo. Eu prefiro ir lá e dizer: “Olha, eu não tenho o que falar para vocês” ou “Eu não gostaria de falar”, mas ficar em silêncio... Agora, respeito também a atitude, acho que cada grupo é um grupo, cada momento é um momento. Hoje, eu vejo que não é muito favorável esse negócio de: “Não nós não vamos falar hoje, vamos falar amanhã”, porque cria uma série... assim como tem pessoas irresponsáveis, [tem] jornalista irresponsável que joga jogador contra a torcida: “Ó tem aquele grupinho”. No Mundial, diziam que nós tínhamos oito grupos diferentes e nós éramos 23 jogadores. Então, cada grupo era no máximo de três ou tinha grupo de um só, não sei se pode existir.
30/10/2006|Rogério Ceni|173|Paulo Markun|O duro é se eles tiverem discordância entre si ou consigo mesmo [risos]. Vamos fazer mais um rápido intervalo. A gente volta já, já.
30/10/2006|Rogério Ceni|174|[intervalo]|intervalo]
30/10/2006|Rogério Ceni|175|Paulo Markun|Estamos de volta com o Roda Viva, esta noite entrevistando o goleiro do São Paulo Futebol Clube, Rogério Ceni. E agora temos uma pergunta do outro goleiro do São Paulo, do ex-goleiro Zetti, titular do time nos primeiros anos de Ceni no clube.
30/10/2006|Rogério Ceni|176|Zetti [em pergunta gravada]|Minha pergunta é bem direta: eu queria saber do Rogério se ele pretende chegar aí aos mil jogos. Eu acho que é uma marca maravilhosa. Ou se ele tem um pensamento, de repente, [de] chegar até a marca do Pelé, por que não? Eu acho que ele tem idade para isso, é jovem. Espero que isso aconteça, porque ele já faz parte do futebol brasileiro, do futebol mundial, não só pelos gols, pelas grandes defesas, é um dos maiores atletas da história do São Paulo. Sem dúvida, o maior, não um dos, o maior atleta da história do São Paulo. Valeu, um grande abraço.
30/10/2006|Rogério Ceni|177|Paulo Markun|Só para acrescentar, eu coloco a pergunta de Roberson Costa, de Santa Cruz do Rio Pardo, que diz o seguinte: se você acha que pode chegar aos 100 gols?
30/10/2006|Rogério Ceni|178|Rogério Ceni|Primeiro queria mandar um grande abraço para o Zetti, tenho certeza que deve estar assistindo o programa. Foi como um irmão aqui em São Paulo para mim, um cara que... eu sempre falava para ele que eu desejava coisas futuras melhores para ele do que até para mim, porque foi um grande cara [com] que eu trabalhei. Eu tenho uma admiração muito grande pelo Zetti. E chegar aos mil jogos, acho que não vai ter condições, não. Eu acho que aí os joelhos não agüentam até lá. Vamos chegar mais para frente um pouco, eu espero pode chegar, fazer um bom número de jogos. Eu acho que, assim, em porcentagem, seria mais fácil chegar aos cem gols do Roberson aí, que perguntou, do que chegar aos mil jogos. Bater o Pelé então, mil e cento e lá vai, né? Aí não.
30/10/2006|Rogério Ceni|179|Mauro Naves|Você tem que jogar 60 jogos em média, mais uns cinco anos, 60 por ano, para você... você vai jogar até quando?
30/10/2006|Rogério Ceni|180|Rogério Ceni|Eu imagino - eu não posso prever - vou jogar até o dia em que eu me sentir em condições, bem fisicamente e interessado pelo jogo, motivado pelo jogo. Mas acredito que até os 37 [anos].
30/10/2006|Rogério Ceni|181|Paulo Markun|Quer dizer que nós vamos ter que te aquentar mais uns cinco anos [risos]?
30/10/2006|Rogério Ceni|182|Rogério Ceni|É, você vai ter que me suportar mais uns quatro anos.
30/10/2006|Rogério Ceni|183|Paulo Markun|Só um pouquinho. Pergunta de Thiago Vicente, de Bebedouro, São Paulo, que gostaria de saber se você pensa em seguir a carreira de treinador como fez o Zetti.
30/10/2006|Rogério Ceni|184|Rogério Ceni|Não, não é uma coisa que me atrai muito. Eu vivo há 16 anos, 17 quase, porque eu joguei no Mato Grosso, mas lá eu estava na minha casa, morando com os meus pais. Eu vivo há 16 anos no futebol, a gente viaja muito, sai para um lugar, para outro, pára muito pouco em casa. A profissão de treinador é ainda muito pior porque, no nosso país, se você perder quatro, três em seguida, quatro em seguida o cara te manda embora no dia seguinte. Aí você tem que mudar de cidade, de estado, aí a família fica meio que jogada para um lado, para o outro. Eu gostaria de saber o caminho de volta para a minha casa todos os dias.
30/10/2006|Rogério Ceni|185|Hélio Alcântara|Por isso o poder? O poder te atraí? Quer dizer, você quando pensa: “Talvez eu seja o presidente desse clube”?
30/10/2006|Rogério Ceni|186|Rogério Ceni|Não, eu nunca, veja bem, eu nunca falei que eu vou ser presidente do São Paulo. A imprensa sempre me perguntou se eu desejava ser presidente do São Paulo. Eu sempre falei que eu gostaria de colaborar com o São Paulo Futebol Clube numa maneira que fosse, uma maneira ideal, não necessariamente sendo presidente dessa entidade. Eu acho que hoje, por exemplo, existem muito mais pessoas preparadas do que eu para assumir essa função. Agora, eu gostaria, logicamente, de poder retribuir ao clube um pouco do que ele fez mas, logicamente, existe sempre uma troca. Eu trabalhei muito para o clube e o clube fez muito por mim, mas eu gostaria de poder retribuir pós-goleiro, pós-futebol.
30/10/2006|Rogério Ceni|187|Marília Ruiz|Mas aí a gente cai numa tradição péssima no Brasil, que não aproveita nenhum dos seus ex-atletas. A gente não tem nenhuma tradição, aqui no Brasil, de aproveitar ex-atletas. Inclusive no São Paulo, que é um clube referenciado por ser diferenciado. Tentou uma tentativa com o Raí, fracassada, que não deu certo, então o que você vai fazer diferente para que com você funcione? O que você faz, você se prepara como?
30/10/2006|Rogério Ceni|188|Rogério Ceni|O São Paulo ainda tem uma identificação com seus ex-atletas, mais no sentido de treinador de categorias de base, preparadores físicos e na parte social também. O São Paulo emprega muitos grandes jogadores do passado. Eu penso que na área de futebol, em si, eu possa dar muita colaboração no sentido da praticidade, na prática, de ter trabalhado tanto tempo com isso.
30/10/2006|Rogério Ceni|189|Marília Ruiz|Mesma coisa que o Leonardo faz no Milan?
30/10/2006|Rogério Ceni|190|Rogério Ceni|O Leonardo, eu acho que é fora do comum. O Leonardo, para mim, assim é um jogador, atleta profissional mais inteligente com quem eu trabalhei, mais bem preparado para exercer... fala cinco línguas. Eu acho que é um cara assim... e depois é um cara assim limpo, claro, é um cara fácil de se conversar, não tem como não gostar do Leonardo. Agora, eu acho que poderia dar uma... Eu sei como é o São Paulo, como vive o São Paulo, como respira o São Paulo no dia-a-dia. Então eu gostaria, quem sabe, de poder exercer um cargo onde eu pudesse ter esse contato direto com o atleta ,no futuro, depois de deixar de ser um atleta, não como treinador, que eu não me sinto tão confortável nessa posição. E não necessariamente como presidente.
30/10/2006|Rogério Ceni|191|Marília Ruiz|Você quer o emprego do Marco Aurélio Cunha [superintendente de futebol do São Paulo], é isso?
30/10/2006|Rogério Ceni|192|Rogério Ceni|Não quero tomar o emprego do Marco Aurélio, muito pelo contrário. O Marco Aurélio é extremamente competente e talvez até preparado, tão bem preparado que possa exercer a função de presidente, futuramente.
30/10/2006|Rogério Ceni|193|Luiz Gonzaga Belluzzo|Rogério, você que é uma pessoa que tem uma capacidade verbal anormal no meio onde você trabalha, o que você poderia fazer pela sua classe? Porque você disse muito bem no começo, que os que chegam ao sucesso e ganham muito dinheiro são poucos, a grande maioria, nós sabemos, jogam com salários baixos e terminam a carreira, às vezes, melancolicamente. O que você faria?
30/10/2006|Rogério Ceni|194|Mauro Naves|Eu aproveito para dizer, o Marco Aurélio Cunha, eu falei com ele sábado, eu falei: “me faça uma pergunta que eu vou levar para o Rogério”. Ela acabou de citar o Marco Aurélio e foi exatamente o Marco Aurélio que me disse hoje por telefone: “Mauro, eu pensei na pergunta, ele é tão imprescindível ao futebol que essa história de São Paulo eu acho pouco para ele. Ele teria que fazer algo para a classe, do jeito que ele é, ganha acima da média e tal”.
30/10/2006|Rogério Ceni|195|Rogério Ceni|Hoje, o que melhor, no momento, se pode fazer, é o exemplo que você pode dar de seriedade, de profissionalismo. Agora, é uma classe sofrida no nosso país. Eu acho que resiste, e mudou-se a lei a pouco tempo atrás, mais ainda ela... o Brasil hoje deve ter em torno de 16 mil atletas profissionais registrados em federações. A grande maioria desses atletas, talvez, sei lá, 80% para mais, vivam de um a dois salários mínimos. Aí eu vou te dizer, quanta gente formada em medicina, quantos advogados existem no Brasil se formando, alguns, como foi capa da revista Veja, se não me engano na semana passada ou retrasada, os grandes escritórios de advocacia do país cuidam de contas excepcionais e conseguem ter uma arrecadação fantástica. Há advogados que trabalham, mesmo pagando uma faculdade caríssima, que vão começar trabalhando... então, existe um afunilamento natural para você ter sucesso.
30/10/2006|Rogério Ceni|196|Paulo Markun|Mas advogado não tem peneira.
30/10/2006|Rogério Ceni|197|Rogério Ceni|Claro que tem peneira. Hoje tem um exame da OAB que você vê 10% dos advogados passando.
30/10/2006|Rogério Ceni|198|Paulo Markun|Não, espera um pouquinho Rogério, mas o que eu digo é o seguinte: a peneira, e aí é alguma coisa, disso eu conheço, até por proximidade de familiares que jogaram futebol, a peneira não é uma coisa muito correta, tem de tudo ali.
30/10/2006|Rogério Ceni|199|Rogério Ceni|Não é que não é uma coisa correta, mas é um modo de avaliar que dificilmente você vai conseguir ver todas qualidades daquele menino. Primeiro, se ele tem um treino para fazer, o nervosismo que ele passa naquele treino, naquele primeiro treino. Às vezes, são muitos garotos, você não tem condição de analisar. Como o Cafu, por exemplo, [fez] mais de dez testes e foi se tornar o cara que mais jogos fez pela Seleção Brasileira. Às vezes você não tem o tempo para ser avaliado de forma correta. Voltando só na classe, que é uma coisa super importante, eu acho assim, que não é que o sindicato seja mal administrado ou coisa assim, mas ele não tem a força realmente, porque não existe uma união tão grande dos atletas, sabe?
30/10/2006|Rogério Ceni|200|Marília Ruiz|Não é nem entre os menores, uma pergunta que eu fiz para você antes. Os 20% ou 5% que ganham o que você ganha ou que estão em times grandes como você, também não são unidos. Vocês também jogam mais jogos do que deveriam, não têm as férias que deveriam e nem vocês estão bem representados.
30/10/2006|Rogério Ceni|201|Rogério Ceni|Mas, culturalmente, nosso país foi politicamente formado assim.
30/10/2006|Rogério Ceni|202|Vladir Lemos|Você se sente explorado em algumas horas?
30/10/2006|Rogério Ceni|203|Rogério Ceni|Não, não me sinto explorado, não me sinto explorado.
30/10/2006|Rogério Ceni|204|Mauro Naves|Você tem que se sentir um privilegiado...
30/10/2006|Rogério Ceni|205|Rogério Ceni|Eu me sinto um privilegiado.
30/10/2006|Rogério Ceni|206|Marília Ruiz|Ele tem direito a férias de trinta dias, coisa que ele não consegue.
30/10/2006|Rogério Ceni|207|Rogério Ceni|No ano passado, por exemplo, nós não tivemos. Mas existe sempre um diálogo entre a diretoria. Eu falo no nosso time, no nosso caso, existe sempre.
30/10/2006|Rogério Ceni|208|Mauro Naves|Entre a diretoria e você, né, Rogério? Você responde por tudo lá.
30/10/2006|Rogério Ceni|209|Rogério Ceni|Não. E difícil você botar 25 jogadores dentro de uma sala de um diretor para conversar com um diretor. Então sempre existem... eu não gosto. [aponta para Belluzzo]
30/10/2006|Rogério Ceni|210|Luiz Gonzaga Belluzzo|[interrompendo] Eu não sou diretor de nada.
